,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,ObjectId,Total_Cases,NSW_Deaths,VIC_Deaths,QLD_Deaths,SA_Deaths,WA_Deaths,TAS_Deaths,NT_Deaths,ACT_Deaths,Total_Deaths,NSW_Tests,VIC_Tests,QLD_Tests,SA_Tests,WA_Tests,TAS_Tests,NT_Tests,ACT_Tests,NSW_Tests_Negative,VIC_Tests_Negative,QLD_Tests_Negative,SA_Tests_Negative,WA_Tests_Negative,TAS_Tests_Negative,NT_Tests_Negative,ACT_Tests_Negative,Total_Tests,Total_Tests_Negative
2020-03-04,16.0,10.0,11.0,5.0,0.0,0.0,0.0,0.0,624,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-05,22.0,0.0,13.0,7.0,3.0,0.0,0.0,0.0,625,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0,0.0,0.0,0.0,976,973
2020-03-06,28.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,626,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0
2020-03-07,36.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,627,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7214,6690
2020-03-08,38.0,12.0,15.0,0.0,4.0,2.0,0.0,0.0,628,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7216.0,0.0,0.0,0.0,1669.0,114.0,0.0,0.0,6690.0,0.0,0.0,0.0,1665.0,0.0,0.0,0.0,8999,8355
2020-03-09,47.0,15.0,0.0,0.0,6.0,2.0,0.0,0.0,629,70,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8371.0,0.0,0.0,0.0,1802.0,126.0,0.0,0.0,7848.0,0.0,0.0,0.0,1796.0,0.0,0.0,0.0,10299,9644
2020-03-10,61.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,630,104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10165,9096
2020-03-11,65.0,21.0,20.0,9.0,9.0,3.0,0.0,0.0,631,127,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10221,9152
2020-03-12,78.0,27.0,27.0,12.0,0.0,3.0,0.0,1.0,632,148,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14856,11040
2020-03-13,92.0,36.0,35.0,16.0,14.0,4.0,0.0,1.0,633,198,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16685.0,0.0,0.0,0.0,3802.0,0.0,0.0,0.0,14665.0,0.0,0.0,0.0,3788.0,0.0,0.0,0.0,20487,18453
2020-03-14,112.0,49.0,46.0,19.0,0.0,5.0,0.0,1.0,634,232,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20496.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,18716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20779,18716
2020-03-15,134.0,57.0,61.0,20.0,0.0,6.0,0.0,0.0,635,278,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,22567.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,20511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22926,20511
2020-03-16,171.0,71.0,68.0,29.0,28.0,0.0,0.0,2.0,636,369,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,26964.0,11700.0,0.0,0.0,5906.0,0.0,0.0,0.0,25511.0,0.0,0.0,0.0,5878.0,0.0,0.0,0.0,44570,31389
2020-03-17,210.0,94.0,78.0,32.0,31.0,7.0,0.0,0.0,637,452,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,30244.0,0.0,0.0,0.0,6613.0,0.0,0.0,0.0,28552.0,0.0,0.0,0.0,6582.0,0.0,0.0,0.0,36857,35134
